"","COMID","wgt","draw_year"
"242",15549637,178.773777,"2018_2022"
"243",15540149,707.634706,"2018_2022"
"244",15540247,707.634706,"2018_2022"
"245",15539791,707.634706,"2018_2022"
"246",15541561,178.773777,"2018_2022"
"247",15539103,278.770526,"2018_2022"
"248",15547837,707.634706,"2018_2022"
"249",15538959,278.770526,"2018_2022"
"250",15551291,281.232903,"2018_2022"
"251",15550177,707.634706,"2018_2022"
"252",15539893,278.770526,"2018_2022"
"253",15539641,707.634706,"2018_2022"
"254",15539363,278.770526,"2018_2022"
"255",15550809,178.773777,"2018_2022"
"256",15540157,707.634706,"2018_2022"
"257",15538551,278.770526,"2018_2022"
"258",15538951,707.634706,"2018_2022"
"259",15537809,278.770526,"2018_2022"
"260",15548217,278.770526,"2018_2022"
"261",15539059,278.770526,"2018_2022"
"262",15549303,707.634706,"2018_2022"
"263",15550127,707.634706,"2018_2022"
"264",15547489,178.773777,"2018_2022"
"265",15540155,278.770526,"2018_2022"
"266",15541249,281.232903,"2018_2022"
"267",15550999,278.770526,"2018_2022"
"268",15537329,707.634706,"2018_2022"
"269",15539541,707.634706,"2018_2022"
"270",15547329,278.770526,"2018_2022"
"271",15539087,278.770526,"2018_2022"
"272",15547937,707.634706,"2018_2022"
"273",15539073,278.770526,"2018_2022"
"274",15547767,178.773777,"2018_2022"
"275",15550197,178.773777,"2018_2022"
"276",15539375,281.232903,"2018_2022"
"277",15550005,178.773777,"2018_2022"
"278",15539291,707.634706,"2018_2022"
"279",15551285,281.232903,"2018_2022"
"280",15539983,707.634706,"2018_2022"
"281",15548195,707.634706,"2018_2022"
"282",15547783,278.770526,"2018_2022"
"283",15549459,281.232903,"2018_2022"
"284",15548189,281.232903,"2018_2022"
"285",15550693,278.770526,"2018_2022"
"286",15547337,707.634706,"2018_2022"
"287",15541411,281.232903,"2018_2022"
"288",15539623,178.773777,"2018_2022"
"289",15551225,281.232903,"2018_2022"
"290",7711894,22.388769,"2018_2022"
"291",7712572,22.388769,"2018_2022"
"292",900510083,73.129149,"2018_2022"
"293",7712660,19.617995,"2018_2022"
"294",7710188,73.129149,"2018_2022"
"295",7712510,22.388769,"2018_2022"
"296",7711996,22.388769,"2018_2022"
"297",7713718,19.617995,"2018_2022"
"298",7712390,27.767799,"2018_2022"
"299",7712190,22.388769,"2018_2022"
"300",7713740,22.388769,"2018_2022"
"301",7712768,27.767799,"2018_2022"
"302",7712252,19.617995,"2018_2022"
"303",7712300,19.617995,"2018_2022"
"304",7712722,22.388769,"2018_2022"
"305",7713688,27.767799,"2018_2022"
"306",7712506,27.767799,"2018_2022"
"307",7712650,27.767799,"2018_2022"
"308",7712470,73.129149,"2018_2022"
"309",7712334,19.617995,"2018_2022"
"310",7713512,22.388769,"2018_2022"
"311",7712818,19.617995,"2018_2022"
"312",7712894,73.129149,"2018_2022"
"313",7712026,22.388769,"2018_2022"
"314",7712432,22.388769,"2018_2022"
"315",7712284,19.617995,"2018_2022"
"316",7712140,27.767799,"2018_2022"
"317",7712868,22.388769,"2018_2022"
"318",7712040,73.129149,"2018_2022"
"319",7712180,22.388769,"2018_2022"
"320",7713690,19.617995,"2018_2022"
"321",7710206,22.388769,"2018_2022"
"322",7712388,73.129149,"2018_2022"
"323",7712266,73.129149,"2018_2022"
"324",7713038,73.129149,"2018_2022"
"325",7712238,73.129149,"2018_2022"
"326",7713684,27.767799,"2018_2022"
"327",7712622,73.129149,"2018_2022"
"328",9521329,178.93402,"2018_2022"
"329",9521459,106.297647,"2018_2022"
"330",9528335,154.322491,"2018_2022"
"331",9529631,178.93402,"2018_2022"
"332",9521467,106.297647,"2018_2022"
"333",10312496,178.93402,"2018_2022"
"334",9527425,106.297647,"2018_2022"
"335",9524359,543.480097,"2018_2022"
"336",9521333,543.480097,"2018_2022"
"337",10311366,178.93402,"2018_2022"
"338",9528019,178.93402,"2018_2022"
"339",9524279,543.480097,"2018_2022"
"340",9528113,178.93402,"2018_2022"
"341",9528115,543.480097,"2018_2022"
"342",10312666,106.297647,"2018_2022"
"343",10313564,178.93402,"2018_2022"
"344",9524631,178.93402,"2018_2022"
"345",10312384,543.480097,"2018_2022"
"346",9528285,178.93402,"2018_2022"
"347",9521339,543.480097,"2018_2022"
"348",10312600,154.322491,"2018_2022"
"349",9528305,154.322491,"2018_2022"
"350",9527389,543.480097,"2018_2022"
"351",9527383,178.93402,"2018_2022"
"352",9528159,154.322491,"2018_2022"
"353",9524475,543.480097,"2018_2022"
"354",10313392,154.322491,"2018_2022"
"355",25825671,543.480097,"2018_2022"
"356",10313546,543.480097,"2018_2022"
"357",9528597,106.297647,"2018_2022"
"358",9524633,178.93402,"2018_2022"
"359",9521355,543.480097,"2018_2022"
"360",10312296,178.93402,"2018_2022"
"361",9528277,154.322491,"2018_2022"
"362",9521255,154.322491,"2018_2022"
"363",9528235,543.480097,"2018_2022"
"364",10312694,154.322491,"2018_2022"
"365",9528225,178.93402,"2018_2022"
"366",9521095,178.93402,"2018_2022"
"367",9527929,178.93402,"2018_2022"
"368",9521325,106.297647,"2018_2022"
"369",9528289,543.480097,"2018_2022"
"370",9521453,106.297647,"2018_2022"
"371",9528127,154.322491,"2018_2022"
"372",9527325,178.93402,"2018_2022"
"373",9528173,178.93402,"2018_2022"
