"","filter_match","X","SMAS_ID","COMID","YEAR","latitude","longitude","NOTES","MILES","BASIN","RECENT_SAMPLE_DATE","PREVIOUS_SAMPLE_DATE_1","PREVIOUS_SAMPLE_DATE_2","PREVIOUS_SAMPLE_DATE_3","PREVIOUS_SAMPLE_DATE_4","PREVIOUS_SAMPLE_DATE_5","PREVIOUS_SAMPLE_DATE_6","PREVIOUS_SAMPLE_DATE_7","X17","X1","wgt","adj_wgt","mdcaty","SO","start","end","matching","CHEM_PARAMETER_NAME","CHEM_PARAMETER_UNIT_NOSP","CHEM_PARAMETER_FRACTION","median"
"48","01-HAMP-3.6_2020",93,"01-HAMP-3.6",15575641,2020,42.67,-78.82,NA,0,1,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,531,238.708187,700.249671044429,"2nd",2,2018,2022,"01-HAMP-3.6_15575641_2020_2018","COPPER","ug/L","TOTAL",1.8
"49","01-HAMP-3.6_2020",93,"01-HAMP-3.6",15575641,2020,42.67,-78.82,NA,0,1,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,531,238.708187,700.249671044429,"2nd",2,2018,2022,"01-HAMP-3.6_15575641_2020_2018","CADMIUM","ug/L","TOTAL",NA
"50","01-HAMP-3.6_2020",93,"01-HAMP-3.6",15575641,2020,42.67,-78.82,NA,0,1,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,531,238.708187,700.249671044429,"2nd",2,2018,2022,"01-HAMP-3.6_15575641_2020_2018","ZINC","ug/L","TOTAL",NA
"51","01-HAMP-3.6_2020",93,"01-HAMP-3.6",15575641,2020,42.67,-78.82,NA,0,1,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,531,238.708187,700.249671044429,"2nd",2,2018,2022,"01-HAMP-3.6_15575641_2020_2018","CALCIUM","ug/L","TOTAL",31200
"52","01-HAMP-3.6_2020",93,"01-HAMP-3.6",15575641,2020,42.67,-78.82,NA,0,1,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,531,238.708187,700.249671044429,"2nd",2,2018,2022,"01-HAMP-3.6_15575641_2020_2018","NITROGEN, NITRITE","mg/L","TOTAL",NA
"53","01-HAMP-3.6_2020",93,"01-HAMP-3.6",15575641,2020,42.67,-78.82,NA,0,1,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,531,238.708187,700.249671044429,"2nd",2,2018,2022,"01-HAMP-3.6_15575641_2020_2018","IRON","ug/L","TOTAL",118
"54","01-HAMP-3.6_2020",93,"01-HAMP-3.6",15575641,2020,42.67,-78.82,NA,0,1,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,531,238.708187,700.249671044429,"2nd",2,2018,2022,"01-HAMP-3.6_15575641_2020_2018","CHLORIDE","mg/L","TOTAL",23.1
"55","01-HAMP-3.6_2020",93,"01-HAMP-3.6",15575641,2020,42.67,-78.82,NA,0,1,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,531,238.708187,700.249671044429,"2nd",2,2018,2022,"01-HAMP-3.6_15575641_2020_2018","MAGNESIUM","ug/L","TOTAL",6010
"56","01-HAMP-3.6_2020",93,"01-HAMP-3.6",15575641,2020,42.67,-78.82,NA,0,1,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,531,238.708187,700.249671044429,"2nd",2,2018,2022,"01-HAMP-3.6_15575641_2020_2018","NITROGEN, KJELDAHL, TOTAL","mg/L","TOTAL",0.41
"57","01-HAMP-3.6_2020",93,"01-HAMP-3.6",15575641,2020,42.67,-78.82,NA,0,1,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,531,238.708187,700.249671044429,"2nd",2,2018,2022,"01-HAMP-3.6_15575641_2020_2018","HARDNESS (AS CACO3)","mg/L","TOTAL",103
